model,validation_loss,validation_accuracy,testing_loss,testing_accuracy,input_features
densenet,0.5495,0.8289,0.564295,0.82,1024
efficientnet,0.92,0.7675,0.876047,0.75,1280
googlenet,0.6956,0.7904,0.718252,0.77,1024
inception_v3,0.3787,0.8762,0.900824,0.8,2048
vgg16,0.5148,0.8635,0.489324,0.84,4096
vgg19,0.4323,0.8767,0.45274,0.85,4096
covenext_large,0.125,0.96637,0.10765,0.96,1536
regnet_y_3_2gf,0.4616,0.864,0.459066,0.85,1512
efficientnet_b7,0.6235,0.8358,0.652045,0.82,2560
vit_b_16,0.5445,0.8372,0.555616,0.82,768
